Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Non-binary,Master's,Single,35692.37529345099,,24840.0,Auto,Self-employed,5,Excellent,0.2430237983088844,101996.0,,Port Rebecca,CA,Svalbard & Jan Mayen Islands,3.0,1,Low
24,Male,Master's,Single,,663.0,,Personal,Self-employed,12,Good,0.2556966875149042,147499.0,3.0,East Helenhaven,VT,French Southern Territories,4.0,2,Low
38,Non-binary,Master's,Single,61714.081487505646,718.0,17841.0,Home,Unemployed,17,Excellent,0.1575191271408829,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Low
28,Female,Associate's,Married,65258.64997582267,,,Personal,Self-employed,14,Fair,0.2276173239641863,128403.0,2.0,North Marcbury,WA,Turkey,1.0,1,Low
35,Female,PhD,Married,98658.64354549705,821.0,5747.0,Business,Self-employed,4,Excellent,0.3273739345775527,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Low
56,Female,PhD,Single,,776.0,40516.0,Auto,Self-employed,9,Fair,0.3782068747372548,203231.0,1.0,New Zachary,IN,Swaziland,3.0,1,Low
22,Non-binary,PhD,Widowed,91931.76993322336,665.0,34746.0,Home,Unemployed,18,Fair,0.2689442806281806,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Low
40,Male,PhD,Widowed,143128.54083023648,701.0,8747.0,Auto,Self-employed,1,Excellent,0.5146706368606976,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Low
39,Male,Associate's,Married,119273.25645547872,815.0,18079.0,Business,Employed,3,Fair,0.5187589537006945,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Low
31,Non-binary,Associate's,Divorced,120612.5610733936,781.0,18101.0,Business,Employed,5,Fair,0.1087938171262242,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Low
45,Female,Associate's,Widowed,120989.4668029568,789.0,17023.0,Auto,Self-employed,19,Fair,0.5849112572624202,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Low
62,Non-binary,Master's,Widowed,57916.41594414464,678.0,,Auto,Employed,6,Fair,0.443604125471908,277288.0,,East Kevinmouth,VI,Togo,,2,Low
34,Non-binary,Associate's,Widowed,63837.611757602106,727.0,,Home,Unemployed,9,Fair,0.44893789146698,253262.0,2.0,Lake Ashleyland,AR,Belize,0.0,1,Low
19,Male,Associate's,Married,49181.07378113275,774.0,44426.0,Home,Unemployed,1,Good,0.5054597465036814,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Low
36,Female,Associate's,Married,90355.25221414988,719.0,44260.0,Home,Employed,2,Excellent,0.3377617250479925,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Low
23,Male,Master's,Single,39529.48652635446,752.0,24532.0,Business,Unemployed,3,Fair,0.500613650535156,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Low
22,Male,PhD,Widowed,136940.43327885866,805.0,16117.0,Business,Unemployed,17,Excellent,0.2115250612147935,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Low
41,Female,PhD,Widowed,87819.54127771415,764.0,5235.0,Home,Employed,5,Excellent,0.3223561389565612,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Low
31,Female,PhD,Widowed,119602.32525407552,,41006.0,Auto,Self-employed,3,Excellent,0.1627741779293815,26499.0,3.0,Traceyton,SD,Suriname,1.0,2,Low
58,Non-binary,Associate's,Widowed,26165.466032425244,814.0,38756.0,Personal,Unemployed,0,Excellent,0.2184032242675136,91848.0,4.0,North Jeff,MT,Burundi,,1,Low
44,Female,Associate's,Divorced,41172.410820156,706.0,,Home,Unemployed,19,Excellent,0.2527833105785114,,0.0,East Ian,PW,Costa Rica,0.0,2,Low
33,Male,PhD,Single,,661.0,47874.0,Personal,Employed,13,Excellent,0.4552083425735322,28057.0,1.0,North Jodyside,NM,Brazil,,1,Low
40,Male,PhD,Married,112359.91717524585,691.0,15896.0,Auto,Unemployed,6,Excellent,0.3587046510078034,,3.0,West Jeffrey,MT,India,0.0,2,Low
53,Female,Associate's,Married,73823.25646789768,752.0,31196.0,Personal,Self-employed,3,Fair,0.1686306073538819,45029.0,1.0,Ellenbury,AS,Uruguay,,1,Low
36,Non-binary,PhD,Divorced,144817.96298480633,716.0,31132.0,Business,Employed,2,Fair,0.2194031136798087,149141.0,3.0,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low
67,Male,PhD,Widowed,142765.96124843153,697.0,20154.0,Home,Employed,9,Fair,0.4166178675119605,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Low
60,Female,PhD,Married,94955.69856253642,752.0,9459.0,Personal,Unemployed,19,Good,0.1606768880178258,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Low
59,Male,PhD,Single,132341.34160164214,,9288.0,Auto,Unemployed,2,Excellent,0.4121094777318487,195205.0,,Williamsport,WV,Paraguay,2.0,1,Low
50,Male,Master's,Married,99204.99169141328,725.0,26963.0,Home,Employed,1,Excellent,0.2167224192533771,,,New Derekmouth,MH,Mozambique,0.0,1,Low
64,Male,PhD,Single,124170.59518767188,733.0,48584.0,Auto,Self-employed,9,Excellent,0.5725244059508022,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Low
40,Male,PhD,Single,131634.07882547213,666.0,12990.0,Auto,Unemployed,6,Excellent,0.1173550713933556,48187.0,,South Haileyview,NC,Suriname,3.0,2,Low
18,Non-binary,PhD,Divorced,118721.94209658833,765.0,22694.0,Home,Self-employed,1,Fair,0.232809019850618,71327.0,4.0,East Michael,MP,Netherlands Antilles,,1,Low
42,Non-binary,PhD,Widowed,89781.49765987838,,17631.0,Business,Employed,19,Excellent,0.2663837468586075,252248.0,1.0,Strongport,OH,Russian Federation,3.0,0,Low
39,Non-binary,Associate's,Widowed,129892.64847052845,740.0,23158.0,Auto,Employed,6,Excellent,0.4198139284173301,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Low
53,Non-binary,PhD,Single,30569.86449205245,803.0,6982.0,Auto,Employed,5,Good,0.1071982866184308,56108.0,2.0,Gouldbury,CO,Maldives,,0,Low
40,Male,Master's,Divorced,,759.0,41599.0,Auto,Unemployed,19,Good,0.3639037948038988,234986.0,,South Amanda,HI,Iran,1.0,1,Low
31,Female,PhD,Widowed,68132.10172803224,702.0,18293.0,Home,Unemployed,7,Fair,0.2585700348588018,99103.0,4.0,Margaretchester,KY,Mayotte,3.0,2,Low
20,Non-binary,PhD,Widowed,133409.84064040755,798.0,,Business,Employed,16,Fair,0.2326282642250915,177884.0,,East Territown,NE,Wallis and Futuna,0.0,0,Low
36,Female,Master's,Divorced,63980.263363245176,785.0,42326.0,Personal,Self-employed,7,Fair,0.1161353089946739,228890.0,4.0,Turnerchester,NV,Micronesia,0.0,2,Low
59,Female,Associate's,Single,69385.38622482352,786.0,30961.0,Business,Self-employed,19,Excellent,0.3837790169957481,222830.0,4.0,Greenport,WV,Azerbaijan,2.0,0,Low
36,Non-binary,Master's,Single,99677.0736927846,719.0,13132.0,Business,Unemployed,18,Fair,0.5932812650426245,,2.0,Heathermouth,ME,Turkey,0.0,0,Low
60,Male,Associate's,Divorced,85366.6137512109,665.0,9038.0,Home,Unemployed,16,Good,0.5306407750002788,,1.0,New Kevin,OH,Guinea-Bissau,,1,Low
63,Female,Associate's,Single,47738.29029316031,753.0,5044.0,Personal,Employed,1,Excellent,0.4962444575108706,159493.0,3.0,New Martinberg,OR,Cyprus,,2,Low
43,Female,Master's,Single,37173.468343767614,774.0,10640.0,Business,Self-employed,14,Excellent,0.5093030635544635,89291.0,4.0,Frankport,NE,Austria,3.0,0,Low
39,Male,Associate's,Single,129931.00285078582,791.0,8876.0,Home,Unemployed,15,Fair,0.5651184233291675,,2.0,New Brianshire,PW,Armenia,2.0,1,Low
22,Female,Associate's,Widowed,92515.69225693087,775.0,15974.0,Auto,Self-employed,10,Excellent,0.3874834568199873,238717.0,1.0,New Kathryn,OR,Norway,0.0,1,Low
37,Non-binary,PhD,Divorced,108672.96405293464,681.0,33454.0,Personal,Self-employed,13,Excellent,0.508511241522257,40258.0,4.0,Andreaborough,NV,Bangladesh,3.0,0,Low
58,Male,PhD,Single,77526.40601376783,,39742.0,Auto,Unemployed,12,Good,0.3696068464596495,,4.0,Phillipsbury,AL,American Samoa,4.0,1,Low
47,Female,PhD,Married,95781.86487003912,746.0,,Home,Unemployed,4,Excellent,0.5093551584284272,230368.0,4.0,Anthonyside,NH,Ireland,4.0,2,Low
58,Non-binary,Master's,Single,,822.0,34903.0,Auto,Self-employed,7,Excellent,0.1774893093553507,236635.0,3.0,New Marisashire,NE,Namibia,0.0,0,Low
51,Non-binary,Master's,Married,55741.25406894086,677.0,42722.0,Personal,Unemployed,3,Excellent,0.3818998342895037,,,North Feliciaville,VA,Iran,0.0,2,Low
27,Non-binary,Associate's,Widowed,87826.77204420314,687.0,46522.0,Business,Unemployed,6,Good,0.151099074628696,285561.0,2.0,Villafurt,RI,Sao Tome and Principe,2.0,0,Low
56,Non-binary,Master's,Widowed,,768.0,42333.0,Home,Employed,17,Excellent,0.3454629114113554,,2.0,Amandabury,NC,Australia,3.0,2,Low
34,Female,Associate's,Widowed,154598.46719469447,757.0,40823.0,Auto,Employed,6,Fair,0.3539516327477644,63853.0,,North Jeremy,AS,Georgia,0.0,2,Low
34,Female,PhD,Divorced,52354.90920064507,749.0,,Business,Unemployed,9,Excellent,0.1558287705144945,222837.0,,Port Matthew,NE,Panama,3.0,1,Low
66,Non-binary,PhD,Widowed,134943.57017994236,809.0,24588.0,Home,Unemployed,9,Good,0.3048360021881736,50584.0,4.0,South Karen,NM,Finland,4.0,0,Low
30,Non-binary,PhD,Single,,739.0,29559.0,Home,Unemployed,10,Fair,0.1810940029494836,203837.0,0.0,North Amber,NE,United States Virgin Islands,0.0,0,Low
27,Non-binary,PhD,Divorced,105979.91052347879,633.0,13043.0,Auto,Employed,15,Excellent,0.1122702485780294,201865.0,3.0,North Jessicachester,WY,Andorra,4.0,1,Low
67,Female,Master's,Divorced,,787.0,46529.0,Auto,Self-employed,19,Good,0.448739802268898,290306.0,0.0,Hodgesville,NV,Micronesia,0.0,1,Low
46,Female,PhD,Divorced,110479.3163532814,763.0,,Auto,Employed,13,Good,0.2484794393934793,103462.0,3.0,East Brenda,TN,Burkina Faso,3.0,2,Low
35,Male,Master's,Widowed,,743.0,15286.0,Personal,Employed,1,Excellent,0.383451591065335,156329.0,,North Taylorville,NV,Niger,2.0,0,Low
37,Female,PhD,Single,30272.5087382468,675.0,8042.0,Home,Employed,12,Good,0.4428126838448438,55772.0,3.0,Bradleyshire,NE,Falkland Islands (Malvinas),1.0,1,Low
24,Non-binary,PhD,Widowed,72047.32832820668,828.0,7070.0,Personal,Unemployed,0,Excellent,0.1146735381820234,131369.0,2.0,East Stephentown,SD,Slovakia (Slovak Republic),,0,Low
25,Male,PhD,Widowed,,801.0,,Personal,Self-employed,7,Excellent,0.1046891049469395,101481.0,2.0,Lake Brendan,AS,Brunei Darussalam,3.0,1,Low
18,Female,PhD,Single,114099.18163769359,,26863.0,Home,Employed,11,Fair,0.5565990541229334,164061.0,3.0,South Jeremyfurt,AK,Cote d'Ivoire,3.0,1,Low
43,Female,PhD,Divorced,,735.0,12071.0,Business,Employed,8,Excellent,0.1191087560656336,85658.0,,Andrewshire,DE,Djibouti,2.0,0,Low
53,Female,Associate's,Married,42062.86314987928,834.0,6687.0,Business,Self-employed,4,Excellent,0.1951100483394257,,2.0,Charlesstad,OH,Samoa,,2,Low
61,Non-binary,PhD,Widowed,103236.82428476316,720.0,9746.0,Personal,Employed,15,Excellent,0.361356667931265,48339.0,,Meganfurt,NE,Comoros,,0,Low
25,Male,PhD,Single,154328.11857003075,,9520.0,Auto,Unemployed,3,Excellent,0.392512339772273,69459.0,3.0,Darrenstad,NH,Iran,1.0,2,Low
21,Male,Master's,Divorced,44158.46695311796,793.0,27489.0,Home,Self-employed,14,Excellent,0.4546108245277312,284455.0,3.0,Martinezmouth,PA,Costa Rica,0.0,2,Low
52,Non-binary,PhD,Divorced,143382.89437899558,744.0,9174.0,Home,Unemployed,4,Excellent,0.1008151259671944,137074.0,2.0,Victoriamouth,MN,Western Sahara,2.0,1,Low
34,Non-binary,Master's,Widowed,,833.0,21504.0,Auto,Employed,12,Excellent,0.4359377412789053,179496.0,2.0,Karenton,KS,Mali,2.0,1,Low
18,Non-binary,Associate's,Divorced,40107.74342005499,825.0,24399.0,Auto,Self-employed,10,Excellent,0.1510468100347879,284643.0,4.0,Traceyshire,FL,North Macedonia,,2,Low
46,Male,PhD,Widowed,123001.48299235637,636.0,,Personal,Self-employed,7,Fair,0.5551694329649026,182601.0,4.0,Port Scottville,VT,Puerto Rico,4.0,1,Low
63,Female,Master's,Divorced,120248.18095214013,712.0,9667.0,Home,Employed,1,Excellent,0.2516621222377261,61882.0,,West Robin,IL,Somalia,4.0,2,Low
32,Male,PhD,Widowed,148601.4902154037,678.0,38759.0,Auto,Self-employed,18,Fair,0.3515844167224567,,0.0,Stanleyborough,PW,Pakistan,,0,Low
65,Female,Associate's,Divorced,,665.0,27165.0,Home,Self-employed,4,Fair,0.2422354469435255,219776.0,2.0,Jonesfurt,SD,Antarctica (the territory South of 60 deg S),2.0,1,Low
36,Non-binary,PhD,Single,56703.55246510504,,5346.0,Home,Self-employed,7,Excellent,0.1383678298756591,146854.0,4.0,Hannahtown,PW,Netherlands,0.0,2,Low
43,Non-binary,Associate's,Divorced,132752.02510766478,770.0,,Business,Self-employed,4,Fair,0.2739470067787595,,3.0,Ramirezshire,WV,Mauritania,,1,Low
54,Male,Master's,Married,151143.6768767854,731.0,32353.0,Auto,Self-employed,7,Fair,0.4003182792891047,222630.0,1.0,Jarviston,KY,Saint Pierre and Miquelon,1.0,1,Low
34,Female,Master's,Single,59229.60442009403,797.0,39482.0,Personal,Employed,0,Excellent,0.2019002194960407,243318.0,0.0,Krystalberg,PA,Lesotho,3.0,2,Low
48,Male,PhD,Single,124057.69940621064,649.0,33381.0,Home,Unemployed,7,Fair,0.5237666711297408,,,Englishfurt,OR,Mali,3.0,1,Low
45,Male,Master's,Divorced,107333.34132769107,718.0,29177.0,Business,Self-employed,11,Excellent,0.2600552130780492,114053.0,0.0,Port Vickie,LA,New Caledonia,4.0,0,Low
20,Non-binary,Master's,Single,134291.56217251523,656.0,41449.0,Personal,Self-employed,16,Good,0.519828253285117,114922.0,1.0,Annettemouth,PR,Cape Verde,4.0,2,Low
47,Male,PhD,Widowed,127302.05508442293,,14212.0,Personal,Unemployed,2,Good,0.3023551982481515,265480.0,4.0,Lake Susan,GA,Senegal,1.0,1,Low
50,Female,Master's,Single,35194.61326833097,,34733.0,Business,Employed,13,Excellent,0.3555641448794618,133149.0,0.0,Port Ericaside,NE,Martinique,1.0,0,Low
62,Non-binary,PhD,Single,97825.45507795663,692.0,17324.0,Personal,Self-employed,14,Excellent,0.1912766746085446,151244.0,0.0,New Catherineton,OR,Marshall Islands,0.0,2,Low
40,Male,Master's,Single,114083.62764517842,715.0,32825.0,Personal,Self-employed,5,Excellent,0.5841473446063327,129600.0,3.0,Brownville,IL,Wallis and Futuna,4.0,1,Low
53,Non-binary,Associate's,Widowed,138173.7572303508,728.0,45544.0,Auto,Self-employed,11,Excellent,0.3757826517216768,228273.0,0.0,Smithtown,ME,Moldova,,1,Low
31,Male,Associate's,Married,41136.77876320826,787.0,23618.0,Home,Unemployed,6,Good,0.1730556802907323,269695.0,3.0,Davismouth,AL,Peru,2.0,1,Low
33,Non-binary,PhD,Married,105598.5154669387,730.0,47328.0,Personal,Unemployed,5,Fair,0.5220940826849315,111726.0,,Port Mandyland,CA,Italy,1.0,0,Low
47,Female,PhD,Married,73596.04246337271,805.0,9445.0,Business,Employed,12,Good,0.244654441571012,177570.0,1.0,Reedberg,MT,Thailand,,1,Low
55,Non-binary,Associate's,Divorced,117339.08793749433,675.0,42997.0,Auto,Unemployed,17,Good,0.4866386788511888,178174.0,4.0,East John,ID,Argentina,0.0,0,Low
38,Female,PhD,Divorced,123945.90377715783,757.0,,Auto,Employed,6,Excellent,0.4779759514723357,116141.0,2.0,Myerstown,PR,Canada,3.0,1,Low
52,Male,Master's,Widowed,69714.75542732222,647.0,23857.0,Home,Employed,6,Fair,0.346898528068047,,1.0,Shannonside,OK,Macao,4.0,1,Low
33,Male,Master's,Divorced,72154.27156631359,685.0,,Personal,Employed,12,Excellent,0.5880805760404626,35469.0,3.0,Lake Emilyborough,CO,Seychelles,3.0,0,Low
30,Female,Master's,Widowed,126664.82347906072,652.0,48919.0,Business,Unemployed,19,Fair,0.4709401663478705,28459.0,,Holmesmouth,RI,Malta,3.0,1,Low
30,Non-binary,PhD,Widowed,138741.77668345204,800.0,40584.0,Auto,Self-employed,6,Good,0.284052613918844,76919.0,3.0,New Susan,AR,Mauritius,2.0,1,Low
19,Female,Master's,Single,107487.16301622851,841.0,8810.0,Personal,Self-employed,14,Excellent,0.5115467956413187,145761.0,4.0,Baileystad,ND,Mauritania,1.0,0,Low
46,Non-binary,PhD,Widowed,68127.74675260673,745.0,,Auto,Employed,13,Good,0.2270394426708583,57488.0,0.0,Newmanland,WY,Norfolk Island,3.0,1,Low
44,Non-binary,Associate's,Widowed,27434.81361725126,770.0,34540.0,Home,Unemployed,4,Good,0.3360448232179642,,3.0,Lake Jesse,KS,United States Virgin Islands,0.0,1,Low
54,Female,Master's,Divorced,68909.76591987725,781.0,30826.0,Auto,Employed,11,Fair,0.5682172477963229,21537.0,,Kennethberg,MP,Iceland,2.0,2,Low
19,Female,PhD,Divorced,153530.01321160077,748.0,40970.0,Auto,Self-employed,14,Excellent,0.451811592453071,291530.0,1.0,Hunterside,SC,Namibia,0.0,0,Low
43,Male,PhD,Divorced,90811.25822405553,733.0,10316.0,Home,Employed,2,Excellent,0.351319135495249,28304.0,3.0,Dyerfort,MS,Holy See (Vatican City State),0.0,0,Low
34,Non-binary,PhD,Married,108189.16008764697,715.0,48757.0,Personal,Self-employed,12,Good,0.4302500383848775,,2.0,New Jason,NJ,Malawi,1.0,1,Low
19,Male,PhD,Widowed,142109.23421747374,704.0,22351.0,Business,Self-employed,2,Excellent,0.5872100528948899,162947.0,,North Daniel,AZ,Vietnam,4.0,0,Low
44,Female,PhD,Single,,817.0,30191.0,Home,Unemployed,13,Excellent,0.174938787228433,263286.0,3.0,Jacksonberg,UT,Slovakia (Slovak Republic),4.0,1,Low
28,Male,Associate's,Single,,734.0,29992.0,Home,Self-employed,3,Fair,0.1129886520664324,,1.0,New Jasminefort,AL,Bouvet Island (Bouvetoya),1.0,2,Low
43,Female,PhD,Divorced,106731.3614339024,745.0,7848.0,Auto,Self-employed,10,Excellent,0.2534304907639844,103243.0,4.0,Fergusonchester,DC,Germany,,2,Low
51,Non-binary,Associate's,Divorced,87003.2601321114,642.0,6667.0,Personal,Unemployed,4,Excellent,0.5451895423433741,268305.0,,New Paulside,TN,Qatar,1.0,1,Low
35,Female,PhD,Single,55466.483393026014,667.0,9537.0,Home,Unemployed,2,Good,0.5243581890459524,48636.0,1.0,Desireeville,DC,Sao Tome and Principe,4.0,0,Low
69,Non-binary,Master's,Single,133931.18534731845,829.0,5228.0,Home,Self-employed,1,Excellent,0.4846135716399774,,1.0,Ashleyshire,DE,Japan,,1,Low
59,Male,Associate's,Divorced,105994.87419589757,,,Home,Unemployed,6,Excellent,0.1852788189558878,268737.0,1.0,New Melissa,SD,Burkina Faso,2.0,2,Low
